Test_ID,Component,Test_Scenario,Device_Type,Device_State,Expected_Behavior,Test_Steps,Pass_Criteria,Priority,Dependencies
MAM-004,Mobile App Management,Screenshot blocking,Mobile,Unmanaged,Block screenshots of org data,"1. Take screenshot in protected app",Screenshot blocked or blurred,Medium,Screen capture detection
MAM-005,Mobile App Management,Jailbroken device blocking,Mobile,Compromised,Block access,"1. Access from jailbroken device 2. Verify block",Access completely blocked,High,Device integrity detection
MAM-006,Mobile App Management,Offline grace period,Mobile,Unmanaged,12-hour offline access,"1. Go offline 2. Use app within 12 hours 3. Try after 12 hours",Access works offline; expires after grace period,Medium,Offline policy configuration
Edge-001,Edge for Business,Work profile auto-creation,Desktop,Any,Create work profile,"1. Access corporate resource 2. Verify profile creation",Work profile automatically created,High,Edge for Business deployment
Edge-002,Edge for Business,Profile isolation,Desktop,Any,Separate work/personal data,"1. Use both profiles 2. Verify data separation",Complete isolation between profiles,High,Profile management
Edge-003,Edge for Business,Visual protection indicators,Desktop,Unmanaged,Show protection status,"1. Access protected session 2. Look for suitcase icon",Lock with suitcase icon displayed,Low,Visual indicators configured
Edge-004,Edge for Business,Enhanced print blocking,Desktop,Unmanaged,Superior print protection,"1. Try to print in protected session",Print blocked more reliably than proxy,Medium,Native browser integration
Edge-005,Edge for Business,Developer tools disabled,Desktop,Unmanaged,Block dev tools,"1. Try to open F12/dev tools 2. Verify blocking",Developer tools completely disabled,Medium,Enhanced session protection
BreakGlass-001,Break-Glass Accounts,Emergency access bypass,Any,Any,Bypass all policies,"1. Use break-glass account 2. Access all resources without restrictions",Full access; all activities logged,Critical,Break-glass procedures
BreakGlass-002,Break-Glass Accounts,FIDO2 authentication,Any,Any,Require hardware key,"1. Attempt login without FIDO2 2. Login with FIDO2",Login only works with hardware key,Critical,FIDO2 keys configured
BreakGlass-003,Break-Glass Accounts,Comprehensive audit logging,Any,Any,Log all activities,"1. Perform various actions with break-glass account 2. Check audit logs",All activities comprehensively logged,Critical,Audit configuration
Integration-001,Cross-Service,Policy coordination SharePoint-Exchange,Any,Unmanaged,Consistent DLP across services,"1. Access both SharePoint and Exchange 2. Verify consistent protection",Same sensitivity labels protected consistently,High,Unified labeling
Integration-002,Cross-Service,MDCA and Endpoint DLP precedence,Desktop,Unmanaged,Endpoint DLP takes priority,"1. Trigger overlapping policies 2. Verify enforcement",Endpoint DLP policy applied,Medium,Both solutions active
Integration-003,Cross-Service,Risk signal correlation,Any,Any,Coordinate risk across services,"1. Trigger risk in one service 2. Verify impact on others",Risk signals shared across services,Medium,Identity Protection integration
Performance-001,System Performance,Login time with policies,Any,Any,Acceptable login performance,"1. Measure login time 2. Compare with baseline",Login time < 10 seconds degradation,Medium,Performance baseline
Performance-002,System Performance,File access latency,Desktop,Unmanaged,Minimal performance impact,"1. Access files through MDCA 2. Measure response time",< 2 seconds additional latency,Medium,Network performance tools
Performance-003,System Performance,Email delivery time,Any,Any,No significant delay,"1. Send emails with DLP scanning 2. Measure delivery time",< 30 seconds additional delay,Low,Email flow monitoring
UserExperience-001,User Experience,Policy tip clarity,Any,Any,Clear user guidance,"1. Trigger policy violation 2. Review user message",Message clearly explains restriction and alternatives,Medium,Custom messaging configured
UserExperience-002,User Experience,Business justification workflow,Any,Any,Allow justified access,"1. Request business justification 2. Complete approval workflow",Workflow completes; access granted with audit,Low,Approval workflows configured
UserExperience-003,User Experience,Help desk integration,Any,Any,Support team can assist,"1. Contact help desk about policy 2. Verify knowledge and tools",Help desk can explain and troubleshoot,Low,Support team training
Compliance-001,Regulatory Compliance,GDPR data subject rights,Any,Any,Support data subject requests,"1. Submit data subject request 2. Verify system response",Request processed according to GDPR requirements,High,GDPR compliance features
Compliance-002,Regulatory Compliance,Audit trail completeness,Any,Any,Comprehensive audit logging,"1. Perform various activities 2. Review audit logs",All security-relevant activities logged,High,Audit log configuration
Compliance-003,Regulatory Compliance,Data retention enforcement,Any,Any,Enforce retention policies,"1. Create content with retention labels 2. Verify enforcement",Content retained/deleted per policy,Medium,Retention policies configured
Security-001,Security Validation,Threat simulation,Any,Any,Detect and respond to threats,"1. Run security simulation 2. Verify detection and response",Threats detected; appropriate response taken,High,Threat simulation tools
Security-002,Security Validation,Penetration testing,Any,Any,Withstand security testing,"1. Conduct authorized pen test 2. Verify controls hold",Security controls prevent unauthorized access,High,Authorized security testing
Security-003,Security Validation,Red team exercise,Any,Any,Detect advanced threats,"1. Run red team simulation 2. Verify detection and response",Advanced threats detected and mitigated,Medium,Red team capabilities

